title,company,location,description,created,category
Senior System Industrialization Engineer,Synsel Techniek,"Veldhoven, Noord-Brabant","Hier ga je werken Locatie: Veldhoven. Dit bedrijf is een voorloper in de high-tech machinebouw en richt zich op de ontwikkeling van geavanceerde technologieën voor de halfgeleiderindustrie. Gevestigd in Veldhoven, speelt deze organisatie een cruciale rol in het leveren van hardware, software en diensten aan chipfabrikanten over de hele wereld. Het bedrijf biedt een dynamische en innovatieve werkomgeving waar samenwerking en creativiteit centraal staan. Werknemers krijgen de kans om te werken aa…",2025-07-25T13:12:46Z,Software Engineer
Internship: Optimization of the sequence generation and merging capability of service actions,ASML,"Veldhoven, Noord-Brabant",Are you a Bachelor or Master student in IT / Software Engineering with a strong affinity with technology? Then this internship could be interesting for you. Introduction Are you a Bachelor or Master student in IT / Software Engineering with a strong affinity with technology? Then this internship could be interesting for you. Job Mission As the Service Design & Engineering department of ASML we deliver structural embedded solutions to the field engineers and our customers. You can be a part off …,2023-12-18T12:35:49Z,Software Engineer
Internship: signal improvement of level sensor software simulator,ASML,"Veldhoven, Noord-Brabant",Are you a Bachelor student in Software Engineering with an interest in efficient signal simulation and generation? Then this graduation assignment could be interesting for you. Introduction Are you a Bachelor student in Software Engineering with an interest in efficient signal simulation and generation? Then this apprentice / graduation assignment could be interesting for you. Job Mission ASML is market leader in high-end exposure tools for the chip industry. A sub-function of this tool is the …,2024-02-13T13:02:07Z,Software Engineer
Senior Java Developer,Cross Border Talents,"Veldhoven, Noord-Brabant","Currently, Cross Border Talents are in search of a Senior Java Developer for one of our clients in the Netherlands. The company in question is a renowned Dutch agency specialized in the recruitment and relocation of technical specialists for the Netherlands. Some of the names they work with include clients like ASML, VDL, DAF Trucks, Siemens and many more. For one of their projects for an international innovation leader in the semiconductor industry, they are looking for a Java Developer. You’l…",2023-05-02T16:48:45Z,Software Engineer
Senior Embedded Software Designer,ASML,"Veldhoven, Noord-Brabant","ASML is leading in the worldwide development, production and sales of high-end lithography systems for the semiconductor industry. Worldwide over 10.000 people work at ASML, with i Introduction ASML is leading in the worldwide development, production and sales of high-end lithography systems for the semiconductor industry. Worldwide over 10.000 people work at ASML, with important settlings in the United States, Asia and the head office in Veldhoven. The employees of ASML share the passion for t…",2023-12-18T12:35:49Z,Software Engineer
DevOps Engineer,Cross Border Talents,"Veldhoven, Noord-Brabant","Currently, Cross Border Talents are in search of a DevOps Engineer for one of our clients in the Netherlands. The company in question is a renowned Dutch agency specialized in the recruitment and relocation of technical specialists for the Netherlands. Some of the names they work with include clients like ASML, VDL, DAF Trucks, Siemens and many more. For one of their projects for a company which is an international innovation leader in the semiconductor industry, they are looking for a DevOps E…",2023-04-09T18:13:14Z,Software Engineer
Senior Java Engineer,ALTEN Nederland,"Veldhoven, Noord-Brabant","The Position As part of our continued growth, we are looking for a Java Engineer to join our team and contribute to ongoing client projects in Apeldoorn. As a Senior Java Engineer at ALTEN Netherlands, you will play a crucial role in developing and optimizing complex software systems. Your work will involve building scalable applications, improving performance, and ensuring high-quality solutions for a wide range of projects across diverse industries. You will be responsible for addressing tech…",2025-08-01T03:01:03Z,Software Engineer
Internship: The measurement of stack usage,ASML,"Veldhoven, Noord-Brabant","ASML is market leader in high end exposure tools for the chip industry. A sub-function of the exposure tool is stage position measurement, of which the core functionality is to c Introduction Are you a Bachelor student in Software Engineering with an understanding of microprocessor architectures with an interest in memory allocation or usage in an embedded environment? Then this internship could be interesting for you. Job Mission ASML is market leader in high end exposure tools for the chip in…",2024-02-13T13:02:07Z,Software Engineer
Internship: Investigate and develop new performance measurement techniques,ASML,"Veldhoven, Noord-Brabant",One of the most cutting-edge metrology instruments developed by ASML is the YieldStar (YS) system. The YS machine softwaredemands almost real time performance and therefore it Introduction Are you a Bachelor student in Software Engineering and interested in exploring different techniques of software profiling and software measurements? Then this internship assignment might be interesting for you. Job Mission One of the most cutting-edge metrology instruments developed by ASML is the YieldStar (…,2025-01-03T17:33:23Z,Software Engineer
Senior Test Automation Engineer (Embedded Software),ASML,"Veldhoven, Noord-Brabant","The Senior Test Automation Engineer (Embedded Software) is a member of the software development team and will be responsible for testing and automation related activities. Introduction The ASML sector Development & Engineering is responsible for specification and design of ASML products. In this sector, the department Embedded Software Design (ESD) ensures delivery of integrated embedded software solutions that support the business success of ASML with agreed quality, cost and in-time. The Seni…",2023-12-18T12:35:46Z,Software Engineer
Software Development Manager Applications,ASML,"Veldhoven, Noord-Brabant","You act as solution provider by driving development of new features and functions of the applications in your group. Introduction We are Applications - a dynamic business line within ASML, one of the world market leaders in scanning lithography technology. We make metrology equipment and create full-stack software control products that run in the most modern semiconductor fabs in the world, and we are always pushing the boundary of what is possible. We are looking to enhance our software develo…",2024-02-13T13:02:08Z,Software Engineer
Senior Hadoop Engineer,ASML,"Veldhoven, Noord-Brabant","Can you independently function as the IT Hadoop lead developer and coach teammembers in our Machine data valuestream? Introduction Can you independently function as the IT Hadoop lead developer and coach teammembers in our Machine data valuestream? If “yes” then we want to talk to you Job Mission We provide high quality innovative machine data solutions, that enable ASML, its customers and suppliers to develop their products and services. Job Description ASML is looking for a senior Hadoop deve…",2023-12-18T12:35:48Z,Software Engineer
Cloud Infrastructure Engineer,BDO,"Veldhoven, Noord-Brabant","About BDO BDO is the leading mid-tier professional services provider globally. In 2024, our core service lines (Audit & Assurance, Tax, Advisory, and Business Services & Outsourcing) generated annual revenues of over US$15 billion. With a worldwide community of over 119k professionals operating in 166 countries and territories, we’re dedicated to helping our clients navigate complex financial and strategic challenges, aligned to our core purpose ‘ People helping people. ’ Why join us? A great p…",2025-06-12T22:07:03Z,Cloud Engineer
Network Security Engineer- Aruba,HCLTech,"Veldhoven, Noord-Brabant","We are a $13 billion global technology company, home to more than 224,000 people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud, and AI, powered by a broad portfolio of technology services and products. HCLTech is a globally recognized leader in the Tech and IT industry, but we’ve never forgotten the startup mindset that got us here. We’ve always approached our work with an idea-first attitude because every one of our accomplishments —n…",2025-07-20T09:00:26Z,Cloud Engineer
Senior Java Engineer,ALTEN Nederland,"Veldhoven, Noord-Brabant","The Position As part of our continued growth, we are looking for a Java Engineer to join our team and contribute to ongoing client projects in Apeldoorn. As a Senior Java Engineer at ALTEN Netherlands, you will play a crucial role in developing and optimizing complex software systems. Your work will involve building scalable applications, improving performance, and ensuring high-quality solutions for a wide range of projects across diverse industries. You will be responsible for addressing tech…",2025-08-01T03:01:03Z,Junior Developer
Salesforce Sales Cloud Senior Developer / Team Lead,InterEx Group,"Veldhoven, Noord-Brabant","Job Description: Salesforce Sales Cloud Senior Developer / Team Lead Position: Salesforce Sales Cloud Senior Developer / Team Lead Location: Remote (Across Europe) Employment Type: [Full-time/Contract] Client Industry: Various Sectors Region: Europe About the Role: We are seeking a skilled Salesforce Sales Cloud Senior Developer / Team Lead to join our dynamic team for a key project. This role involves leading the development and implementation of Salesforce Sales Cloud solutions, working on co…",2025-06-04T08:02:56Z,Junior Developer
